RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,12/31/2023,2/29/2024,11/30/2024
102001,0,United States,country,,11/30/2023,0.1,0,0
394913,1,"New York, NY",msa,NY,11/30/2023,0.1,-0.5,-2.9
753899,2,"Los Angeles, CA",msa,CA,11/30/2023,0.3,-1,-2.2
394463,3,"Chicago, IL",msa,IL,11/30/2023,0.1,-0.3,-2.2
394514,4,"Dallas, TX",msa,TX,11/30/2023,-0.2,-0.8,-0.8
394692,5,"Houston, TX",msa,TX,11/30/2023,-0.3,-1.1,-2
395209,6,"Washington, DC",msa,VA,11/30/2023,0,-0.5,-2.6
394974,7,"Philadelphia, PA",msa,PA,11/30/2023,0.1,-0.1,-0.7
394856,8,"Miami, FL",msa,FL,11/30/2023,0.4,0.4,1.9
394347,9,"Atlanta, GA",msa,GA,11/30/2023,0,-0.2,1.1
394404,10,"Boston, MA",msa,MA,11/30/2023,0.2,-0.1,-1.3
394976,11,"Phoenix, AZ",msa,AZ,11/30/2023,-0.1,-1.1,0.4
395057,12,"San Francisco, CA",msa,CA,11/30/2023,-0.3,-1.6,-4.8
395025,13,"Riverside, CA",msa,CA,11/30/2023,0.2,-0.5,-0.4
394532,14,"Detroit, MI",msa,MI,11/30/2023,0.1,-0.2,-1.1
395078,15,"Seattle, WA",msa,WA,11/30/2023,0,-0.7,-1.6
394865,16,"Minneapolis, MN",msa,MN,11/30/2023,-0.2,-0.9,-3
395056,17,"San Diego, CA",msa,CA,11/30/2023,0.2,-0.3,0.1
395148,18,"Tampa, FL",msa,FL,11/30/2023,0,-0.6,1.5
394530,19,"Denver, CO",msa,CO,11/30/2023,-0.1,-0.7,-1.8
394358,20,"Baltimore, MD",msa,MD,11/30/2023,-0.1,-0.8,-2.9
395121,21,"St. Louis, MO",msa,MO,11/30/2023,-0.1,-0.5,-1.4
394943,22,"Orlando, FL",msa,FL,11/30/2023,0,-0.4,0.8
394458,23,"Charlotte, NC",msa,NC,11/30/2023,0.1,-0.3,1.2
395055,24,"San Antonio, TX",msa,TX,11/30/2023,-0.5,-1.2,-2.1
394998,25,"Portland, OR",msa,OR,11/30/2023,-0.2,-0.8,-2.5
395045,26,"Sacramento, CA",msa,CA,11/30/2023,-0.1,-0.9,-2.4
394982,27,"Pittsburgh, PA",msa,PA,11/30/2023,-0.1,-0.6,-2.1
394466,28,"Cincinnati, OH",msa,OH,11/30/2023,0,-0.3,-0.2
394355,29,"Austin, TX",msa,TX,11/30/2023,-0.9,-2.5,-2.1
394775,30,"Las Vegas, NV",msa,NV,11/30/2023,0.1,-0.6,-1.3
394735,31,"Kansas City, MO",msa,MO,11/30/2023,0,-0.3,-0.4
