RegionID,SizeRank,RegionName,RegionType,StateName,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023
102001,0,United States,country,,205206,238071,264215,290180,304596,308096,289958,273683,264616,194802,222771,167363,180742,231580,245081,266381,316094,323708,295265,291145,306460,284647,269032,185704,195712,292308,310946,321169,353877,258292,260220,271699,236907,226074,255934,195314,196523,269943,271393,287874,322192,287767,311949,278535,257116,246617,267943,214213,230008,292181,298749,343911,360328,336453,363279,296063,327222,303382,305686,251287,250135,319672,357490,409986,403207,424405,420335,357607,358206,307762,318998,249201,245296,305330,346072,389374,414751,417719,397805,367716,381606,294898,342678,250287,260277,351615,382751,413514,480769,477605,433849,413783,391990,307477,370634,271719,286606,375008,400994,447814,503838,444741,473664,426828,393068,370147,381417,297793,290863,412901,399180,486367,532717,457871,492455,417721,411739,373883,365309,290322,288378,392911,414872,479429,509003,473246,493173,387338,414205,364779,332193,269104,286510,367847,415282,483571,466715,481627,475033,404958,419454,355913,373021,300241,300865,375827,325157,318900,444324,530275,511339,516709,527865,449723,483775,361287,357801,487373,514653,519571,608002,568392,557856,521143,496992,476109,477626,358579,347242,457853,454800,478928,497736,424374,441163,390001,339694,292115,278688,215682,236545,324071,299951,360423,381898,327706,356022,307974,291856,256938
394913,1,"New York, NY",msa,NY,8591,8967,9977,10232,10854,13753,12514,11105,10556,8207,8812,6470,5738,6650,6974,8044,9523,11243,11740,11340,11464,13945,11753,8910,7094,19106,9677,9983,14323,12717,10365,,8774,8606,8849,8024,7656,8908,8878,9187,11173,10961,11426,10054,8966,8252,8987,9197,7538,9040,9189,10962,12726,12789,13825,11234,10581,10160,11610,10488,8902,10148,11289,13824,14388,17034,17449,15329,15174,12445,13875,11379,9064,10598,11031,12884,14606,16357,16065,14544,15076,11963,14374,11313,10395,11946,12231,13347,17414,19029,18412,17013,16565,13846,16143,12815,12596,14467,13916,14991,19300,18233,20847,18649,16428,16139,17572,15635,13377,16114,15098,18086,21317,19467,22639,18888,18514,16834,17279,15246,13140,14838,15692,17725,20502,20525,22109,16507,18700,16460,15964,14390,11983,14232,15094,17451,18513,20217,20326,17239,17836,15281,16848,15513,13091,13587,10715,11220,13731,16936,19276,20395,23107,20359,23659,20328,17389,21755,19953,19556,24677,24138,24974,22224,22773,20672,21676,19336,15896,19234,17123,18574,21844,20135,20883,17271,15141,13554,12835,10452,8915,11164,10446,12425,14692,13076,15184,12678,12449,10864
753899,2,"Los Angeles, CA",msa,CA,4159,5058,6075,6903,7242,8253,7836,7807,8584,6526,7756,5984,6145,7863,8168,8583,9930,10260,9059,9140,9566,8211,9558,6561,6706,9234,9117,9984,10578,8778,8397,8338,7672,7378,8815,6686,6411,8964,8582,8455,9463,8445,9201,8563,7769,7884,8729,6997,7482,9930,9558,10755,11019,10291,11369,9188,10486,9660,10988,7724,7732,10101,10505,11717,10781,11713,11478,9408,9942,8465,8902,6873,6683,8552,9669,9850,9924,10151,9591,8891,9344,7429,8730,6514,6627,9525,10428,10428,11593,11637,10305,10082,9531,7308,9775,7111,7008,9472,9929,10544,11391,10319,11095,10203,9465,9122,9553,7386,7022,10291,9207,11173,12336,10157,11596,9960,9541,8813,8768,6980,6899,9951,9499,10466,10736,10140,10624,8043,8799,7707,7250,5796,6162,8224,9334,10342,9733,10049,10204,8906,9467,8232,8790,7038,7126,8467,6114,5030,7515,10361,10331,10979,11074,9764,11193,8350,8100,11705,12415,11438,12698,11851,11523,11099,10735,10122,10373,7469,7277,10451,10018,9495,9286,7592,7923,7326,6334,5456,5242,4255,4634,6728,6033,7180,7319,6223,6964,5742,5791,4965
394463,3,"Chicago, IL",msa,IL,5933,7454,7716,8388,9313,9407,8644,8029,7046,4904,5216,3903,3867,5079,5582,6508,8416,9377,9018,8722,9339,8612,7622,5202,5150,7376,8730,9266,11177,7189,7100,6425,5881,5592,6216,5145,4607,6511,6731,7967,9273,8031,8905,7539,7124,6836,7690,5904,5825,7788,8241,9863,10960,10301,11501,9268,10264,9238,8981,8541,7486,9618,11406,13368,13869,15203,14887,12215,13022,10689,11247,8684,8069,9844,11881,13425,15125,15073,13795,13352,13437,9863,11237,8157,8087,11131,12723,14354,17912,17454,15865,14765,13750,10081,11640,9010,8922,11605,13679,15483,18580,16217,16987,13899,12733,11455,11667,9243,8135,12902,13229,16163,18638,15259,16104,13100,12082,10706,10397,7938,7450,11980,14304,16976,19110,16292,16272,12770,13371,11437,9894,7569,7941,11159,13643,16160,16314,15993,15393,12276,12416,10223,11117,8219,8107,11096,10811,9550,12501,16342,16332,16268,18047,15001,14840,12102,11746,15612,17464,17658,21252,20288,19487,16761,14895,13848,12834,9956,8786,12842,13124,14104,15306,12816,12432,11219,9339,8347,7428,5541,5744,8927,8633,10623,11254,9655,10521,8840,8601,7128
394514,4,"Dallas, TX",msa,TX,5058,5733,6228,6909,6913,6813,6485,5690,4835,3622,4176,3128,3750,4724,4811,5389,6098,6377,5620,5260,5505,4930,4456,2985,3634,5408,6365,6549,6072,4548,4678,4185,3985,3781,4093,2951,3182,4767,4997,5481,5973,5343,5874,4796,4256,4187,4438,3402,4057,5356,5687,6816,7009,6692,7149,5379,5685,5080,5155,4276,4797,6829,7518,8526,8236,8709,8573,6851,6435,5394,5750,4274,5022,6463,7132,8240,8766,8708,8297,7172,7125,5410,6474,4365,5164,7069,7287,8468,9621,9561,9075,7956,7358,5908,7369,5133,6052,7871,8132,8856,9671,8963,9597,8391,7501,7094,7376,5342,6002,8311,8126,9846,10308,9268,9708,8056,7636,7304,7298,5562,6369,8083,8369,9877,9882,9633,9539,7453,7327,6508,6584,4745,6082,7805,8594,9769,8807,9626,9219,7527,7556,6334,7332,5495,6361,7736,6553,6638,9756,11586,10204,9684,9504,8060,8705,5876,6046,8331,9390,9706,10883,10552,10575,9803,9105,8681,8585,6286,6493,8417,8569,9343,9436,8464,8745,7503,6341,5256,5097,3857,5294,6831,6500,7941,7816,6886,7067,5686,5283,4779
394692,5,"Houston, TX",msa,TX,4170,4746,4984,5618,5772,5574,5185,3298,3823,2904,3762,2608,3121,3862,3841,4292,5093,5273,4529,4348,4400,4110,3913,2305,2981,4386,4899,5239,5066,3914,3842,3333,3035,2734,3401,2506,2719,3955,4216,4581,5105,4603,4732,3763,3377,3107,3743,2611,3104,4075,4395,5370,5506,5278,4678,3805,4769,4299,4435,3574,4061,5115,5857,6887,6474,7073,6925,5687,5304,4265,4914,3557,3376,3214,3671,4239,4733,7511,7004,6272,6240,4776,5925,3950,4278,5724,6011,6456,7617,7278,6455,6383,5658,4391,5780,4038,4648,6209,6250,7044,7699,7012,7709,6333,5769,5444,6093,4209,5153,6813,6410,7808,8212,7232,5983,6539,6146,5808,6296,4616,5348,6611,6886,7993,8368,7855,8152,6416,6483,5759,5893,4040,5082,6645,7212,8249,7625,8258,7974,6355,6385,5629,6570,4445,5356,6646,5387,5576,8156,9816,8417,8344,8335,7163,8625,5631,5416,8579,8876,9230,10551,10184,9820,9046,8331,7724,8460,6046,6678,8734,8340,9015,8927,7592,7559,6637,5630,4635,4687,3638,4320,6166,5871,7016,7139,,,,,5675
395209,6,"Washington, DC",msa,VA,4127,5017,5745,6236,7179,6729,6417,6483,6174,4762,5636,3984,4404,5780,6186,6620,7909,7392,6760,6476,6536,6236,5818,4683,4351,6523,7053,7509,8729,5916,7213,5677,5326,5222,5557,4301,4328,6301,6149,6747,7844,6451,6402,5491,5016,4969,5320,4205,4594,5616,6124,7468,7757,6792,7051,5521,5920,6392,5668,4830,4741,6102,7095,8516,9019,8396,8028,6507,6710,5496,6239,4412,4642,5619,6652,7651,8598,7917,7407,6435,6774,5346,6608,4749,4840,6485,7544,8285,10061,9348,8156,7488,7198,5997,7575,5159,5501,7153,8258,9752,10941,9250,9401,7858,7632,7394,7496,6134,6123,8511,8809,10489,11546,9441,9318,7863,8023,7245,6898,5593,5559,7466,8465,10025,10633,9376,8921,6731,7561,7078,6632,5509,5495,7536,8899,10506,10059,9630,8970,7557,8108,6765,7326,5791,5914,7846,7513,7150,9343,10454,10264,10454,10675,9249,9569,6988,7675,10067,11719,11996,13823,12160,11624,10428,10383,10166,9458,6543,6796,9445,9866,10483,10374,8377,8212,7188,6332,5372,5111,3846,4647,6200,6179,7589,7799,6247,6511,5380,5232,4524
394974,7,"Philadelphia, PA",msa,PA,4173,4958,5730,5783,6458,7032,6220,6599,5756,4073,4606,3349,3204,4064,4423,4918,6197,6423,6137,5604,6026,6404,4831,3479,3223,5044,5723,6379,7841,4972,4640,4256,4039,3905,4558,3388,3081,4237,4551,4939,5784,4986,5381,4431,4457,4195,4538,3797,3669,4731,4901,5711,6370,5987,6349,4972,5251,5588,5161,4571,4046,5078,5939,6981,7504,7527,7220,6044,6102,5191,5707,4325,3656,4629,5421,6487,7570,7334,7056,6147,6399,5396,6464,4764,4530,5691,6483,7258,9208,9422,8339,7535,7288,5885,7257,5344,5287,6455,7250,8450,10524,8622,9136,7778,7441,7360,7519,6293,5546,7730,7777,9393,10953,9673,9847,8225,8141,7736,7441,6058,4958,6996,7807,9113,10882,9877,9722,7703,8325,7798,7250,5809,5400,7204,8071,9603,9800,9351,9193,7917,7696,6795,7306,6175,5444,7120,5870,5120,6704,9756,9920,9938,10650,9157,9778,7466,6882,8973,9565,9561,12409,11347,12033,11346,10345,9942,12760,9884,7696,9464,9226,9314,10574,8986,9431,7926,7009,6338,6003,4685,4544,6253,5946,6813,7783,6583,7151,6159,5907,5472
394856,8,"Miami, FL",msa,FL,3996,4700,5184,5228,5470,5138,4755,4655,4975,3954,5410,4333,4699,5975,6217,6318,7166,7053,6500,6827,7359,6652,7611,6164,6035,8791,8563,8035,9184,7897,7547,7450,6933,6826,8802,7680,7653,10188,9964,9595,9865,8769,9310,8604,7601,7715,8828,7264,7689,9706,9881,10385,9901,9297,9937,8208,9554,9144,10248,8686,8497,10501,11650,12050,11167,11491,10849,9920,10335,8996,10197,8532,8279,10503,11430,11223,11032,11047,10150,10239,10949,8837,11138,8276,8737,11291,11834,11430,12273,12323,10684,10677,10380,8568,10836,8017,8649,11091,11020,11235,12115,10226,10974,10021,8990,8979,10019,8025,8286,11579,10539,11949,11985,10239,10955,7338,8933,8388,9467,8009,8002,10755,10822,10995,11180,10078,10402,8309,9161,8315,8130,6870,7312,9785,11012,11821,10304,11123,10207,9173,9451,8274,10018,8300,7985,10420,7354,5759,8386,11023,11115,11002,12060,10593,13091,10225,10951,15755,16687,15623,17238,15473,14275,13021,12776,12344,13698,11122,11310,15315,14661,13710,12961,10298,10202,8549,8076,7163,7321,5767,6572,9920,8694,9967,9352,7932,8613,7617,7363,6032
394347,9,"Atlanta, GA",msa,GA,5760,6283,6468,6735,7052,7083,6383,6524,5978,4381,5466,4396,4628,5948,5819,5792,7173,7134,6366,6091,6410,6203,6082,4182,4804,6530,6751,6822,7426,5698,5611,6585,6983,6322,5714,4051,4440,6229,6080,6604,7360,6865,7806,7224,6799,6162,6855,6486,6732,8142,7682,8745,9917,8650,9276,7733,8420,7873,7231,6960,6640,8214,8875,9719,9457,9559,9226,7907,8101,7095,7092,6194,6472,7849,8303,9380,9715,9410,9130,8275,8391,6867,7839,6024,6334,8738,10660,9816,10776,10586,9903,9056,8273,6742,8591,6347,7261,9829,10174,11205,12157,10778,11266,10115,9179,8575,9203,6640,7349,11102,9897,12764,13173,11100,11829,9869,9629,9344,9208,6984,8006,10771,11094,12732,12997,11968,13144,9838,10554,9398,8694,6937,8069,10846,11387,12867,12061,12523,11810,10070,10423,9001,9735,7634,8675,10492,8186,7970,11696,12720,12276,12231,12796,10407,11975,8623,9589,13305,13788,13858,16870,15295,14262,12331,11284,12640,12659,9372,10541,13395,12613,13019,12954,10745,10761,9350,8023,6496,6660,4923,6045,8610,7654,8734,8797,7068,7577,6630,5744,5062
